date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd
2024-04-03,1266518550.0,,338211.00919520657,338211.00919520657,338211.00919520657,169105.50459760329
2024-04-04,1201472768.0,,320841.18893153063,320841.18893153063,320841.18893153063,160420.59446576532
2024-04-05,1353846484.0,,361531.05349228566,361531.05349228566,361531.05349228566,180765.52674614283
2024-04-06,935903940.0,,249923.71099276046,249923.71099276046,249923.71099276046,124961.85549638023
2024-04-07,1013765586.0,,270715.87852260825,270715.87852260825,270715.87852260825,135357.93926130413
2024-04-08,1867947857.0,,498816.64176177554,498816.64176177554,498816.64176177554,249408.32088088777
2024-04-09,2028048395.0,,541569.8762325027,541569.8762325027,541569.8762325027,270784.9381162514
2024-04-10,1588981618.0,,424321.5202938892,424321.5202938892,424321.5202938892,212160.7601469446
2024-04-11,1391451862.0,,371573.19053366355,371573.19053366355,371573.19053366355,185786.59526683178
2024-04-12,2199113835.0,,587251.1772294934,587251.1772294934,587251.1772294934,293625.5886147467
2024-04-13,2625194949.0,,701031.8427909712,701031.8427909712,701031.8427909712,350515.9213954856
2024-04-14,1926434244.0,,514434.8417253303,514434.8417253303,514434.8417253303,257217.42086266514
2024-04-15,1716555527.0,,458388.8464375667,458388.8464375667,458388.8464375667,229194.42321878334
2024-04-16,2478710146.0,,661914.5530723239,661914.5530723239,661914.5530723239,330957.27653616195
2024-04-17,1893324457.0,,505593.20693402906,505593.20693402906,505593.20693402906,252796.60346701453
2024-04-18,1537873262.0,,410673.549120417,410673.549120417,410673.549120417,205336.7745602085
2024-04-19,1861390312.0,,497065.51548550185,497065.51548550185,497065.51548550185,248532.75774275092
2024-04-20,988107592.0,,263864.1699197895,263864.1699197895,263864.1699197895,131932.08495989474
2024-04-21,995237221.0,,265768.0654602673,265768.0654602673,265768.0654602673,132884.03273013365
2024-04-22,1407455782.0,,375846.8760112899,375846.8760112899,375846.8760112899,187923.43800564494
2024-04-23,1236629117.0,,330229.3374706175,330229.3374706175,330229.3374706175,165114.66873530875
2024-04-24,1318772755.0,,352164.96779118857,352164.96779118857,352164.96779118857,176082.48389559428
2024-04-25,1080445516.0,,288522.08153350436,288522.08153350436,288522.08153350436,144261.04076675218
2024-04-26,817882552.0,,218407.28926952629,218407.28926952629,218407.28926952629,109203.64463476314
